metric,value
properties_enriched,3.0
recently_sold_search_available_count,3.0
recently_sold_detail_available_count,3.0
tax_detail_available_count,3.0
parcel_detail_available_count,3.0
zestimate_history_available_count,3.0
rent_zestimate_available_count,3.0
sale_date_available_count,0.0
final_sale_price_confirmed_count,0.0
sale_outcome_needs_validation_count,3.0
backtesting_ready_count,0.0
outside_target_radius_count,0.0
median_sold_search_price,927000.0
median_sold_search_price_per_sqft,522.6
median_current_zestimate,834900.0
median_rent_zestimate,4123.0
median_gross_rent_yield_using_sold_search_price,0.0426
